id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
2269,Chi-An Chang,"Chang, Chi-An",3,2022;2023;2024,2022:Bronze;2023:Silver;2024:Bronze,2022:200;2023:62.5;2024:198.5,2022:0.6604414261;2023:0.8988673139;2024:0.6740558292
2278,Po-Shen Chang,"Chang, Po-Shen",2,2022;2023,2022:Bronze;2023:Bronze,2022:200;2023:201,2022:0.6604414261;2023:0.6747572816
2280,Ting-Wei Chang,"Chang, Ting-Wei",1,2024,2024:Silver,2024:164,2024:0.7307060755
2309,Pai-Li Cheng,"Cheng, Pai-Li",1,2021,2021:Silver,2021:83.5,2021:0.8651050081
2310,Tien-Sheng Cheng,"Cheng, Tien-Sheng",2,2018;2019,2018:Bronze;2019:Bronze,2018:165;2019:250,2018:0.7222222222;2019:0.5974235105
2327,Chi-En Chung,"Chung, Chi-En",1,2023,2023:Silver,2023:76,2023:0.8770226537
2337,Ming Hsiao,"Hsiao, Ming",1,2019,2019:Bronze,2019:229,2019:0.6312399356
2341,Wei-Hsuan Hsin,"Hsin, Wei-Hsuan",1,2021,2021:Gold,2021:6,2021:0.9903069467
2348,Meng-Che Hsu,"Hsu, Meng-Che",2,2023;2024,2023:Silver;2024:Bronze,2023:140.5;2024:198.5,2023:0.7726537217;2024:0.6740558292
2349,Ting-Cheng Hsu,"Hsu, Ting-Cheng",2,2025;2026,2025:Silver;2026:Gold,2025:133;2026:31.5,2025:0.7888888889;2026:0.9527027027
2358,Bo-Cheng Huang,"Huang, Bo-Cheng",2,2025;2026,2025:Silver;2026:Silver,2025:162;2026:147.5,2025:0.7428571429;2026:0.7785285285
2400,Chia-Ray Lee,"Lee, Chia-Ray",1,2025,2025:Bronze,2025:208,2025:0.6698412698
2434,Te-Cheng Liu,"Liu, Te-Cheng",1,2020,2020:Silver,2020:125.5,2020:0.7962662338
2446,Yu-Chen Ma,"Ma, Yu-Chen",1,2026,2026:Bronze,2026:215.5,2026:0.6764264264
2457,Yu-Sheng Shih,"Shih, Yu-Sheng",2,2018;2019,2018:Bronze;2019:Silver,2018:260;2019:59.5,2018:0.5622895623;2019:0.9041867955
2475,Wei-Fu Tseng,"Tseng, Wei-Fu",1,2020,2020:Bronze,2020:193,2020:0.6866883117
2485,Shih-Yu Wang,"Wang, Shih-Yu",3,2016;2017;2018,2016:Silver;2017:Silver;2018:Gold,2016:53.5;2017:76.5;2018:4.5,2016:0.9111295681;2017:0.8756097561;2018:0.9924242424
2502,Po-Han Wu,"Wu, Po-Han",1,2022,2022:Gold,2022:27,2022:0.9541595925
2519,Hung-Hsun Yu,"Yu, Hung-Hsun",2,2013;2014,2013:Silver;2014:Gold,2013:51;2014:19.5,2013:0.9032258065;2014:0.9651785714
