id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
2528,Komron Abdulloev,"Abdulloev, Komron",1,2017,2017:Bronze,2017:226,2017:0.6325203252
2537,Muhammadjon Boboev,"Boboev, Muhammadjon",2,2016;2017,2016:Honourable Mention;2017:Bronze,2016:418.5;2017:226,2016:0.3048172757;2017:0.6325203252
2538,Mekhron Bobokhonov,"Bobokhonov, Mekhron",4,2015;2016;2017;2018,2015:None;2016:Honourable Mention;2017:Honourable Mention;2018:Bronze,2015:519.5;2016:296;2017:316.5;2018:209,2015:0.0996533795;2016:0.5083056478;2017:0.4853658537;2018:0.6481481481
2539,Anisa Burieva,"Burieva, Anisa",2,2022;2023,2022:Honourable Mention;2023:Honourable Mention,2022:406.5;2023:498.5,2022:0.3098471986;2023:0.1933656958
2540,Raufdzhon Dadabaev,"Dadabaev, Raufdzhon",3,2020;2021;2022,2020:Honourable Mention;2021:None;2022:Bronze,2020:431.5;2021:515.5;2022:166,2020:0.299512987;2021:0.1672051696;2022:0.7181663837
2542,Azamat Dushanov,"Dushanov, Azamat",3,2022;2023;2024,2022:Honourable Mention;2023:None;2024:Honourable Mention,2022:432;2023:523.5;2024:346,2022:0.2665534805;2023:0.1529126214;2024:0.4318555008
2543,Bezhan Gulov,"Gulov, Bezhan",1,2022,2022:Honourable Mention,2022:335,2022:0.4312393888
2549,Shokhrukhdzhon Isomatov,"Isomatov, Shokhrukhdzhon",1,2019,2019:Honourable Mention,2019:393.5,2019:0.3663446055
2550,Sino Khairidinov,"Khairidinov, Sino",1,2020,2020:Honourable Mention,2020:406.5,2020:0.3400974026
2553,Doriush Khayridinov,"Khayridinov, Doriush",1,2022,2022:Honourable Mention,2022:440,2022:0.2529711375
2554,Naimdzhon Khondzhonov,"Khondzhonov, Naimdzhon",3,2017;2018;2019,2017:Bronze;2018:Bronze;2019:Silver,2017:163;2018:280;2019:137,2017:0.7349593496;2018:0.5286195286;2019:0.7793880837
2563,Vazirdzhon Pirov,"Pirov, Vazirdzhon",3,2019;2020;2021,2019:None;2020:Honourable Mention;2021:Bronze,2019:430;2020:469.5;2021:198.5,2019:0.307568438;2020:0.2378246753;2021:0.6793214863
2566,Sunatullo Rakhmatov,"Rakhmatov, Sunatullo",2,2017;2018,2017:Honourable Mention;2018:Honourable Mention,2017:402.5;2018:358.5,2017:0.3455284553;2018:0.3964646465
2568,Jamshed Rustamov,"Rustamov, Jamshed",3,2019;2020;2021,2019:Honourable Mention;2020:Honourable Mention;2021:Bronze,2019:430;2020:377;2021:198.5,2019:0.307568438;2020:0.387987013;2021:0.6793214863
2571,Muhammadidris Saymuhudinzoda,"Saymuhudinzoda, Muhammadidris",1,2026,2026:Honourable Mention,2026:496.5,2026:0.2545045045
2574,Sino Sharopov,"Sharopov, Sino",1,2025,2025:None,2025:484,2025:0.2317460317
2577,Olimdzhon Tukhtarov,"Tukhtarov, Olimdzhon",4,2023;2024;2025;2026,2023:Bronze;2024:Bronze;2025:Silver;2026:Silver,2023:305.5;2024:198.5;2025:162;2026:82.5,2023:0.5056634304;2024:0.6740558292;2025:0.7428571429;2026:0.8761261261
2578,Dzhakhongir Urakov,"Urakov, Dzhakhongir",1,2019,2019:Bronze,2019:270.5,2019:0.5644122383
2579,Abubakr Usmanov,"Usmanov, Abubakr",3,2016;2017;2018,2016:Honourable Mention;2017:Honourable Mention;2018:Bronze,2016:455.5;2017:316.5;2018:260,2016:0.2433554817;2017:0.4853658537;2018:0.5622895623
2580,Timur Usmonov,"Usmonov, Timur",2,2021;2022,2021:Honourable Mention;2022:Honourable Mention,2021:393;2022:320.5,2021:0.3651050081;2022:0.4558573854
2581,Mehrubon Yusupov,"Yusupov, Mehrubon",2,2025;2026,2025:Honourable Mention;2026:Bronze,2025:355.5;2026:215.5,2025:0.4357142857;2026:0.6764264264
