id,name_clean,name_first_last,freq,years,medals_by_year,rank_averages_by_year,percentiles_by_year
2907,Ozod Akhtamov,"Akhtamov, Ozod",3,2023;2024;2025,2023:Bronze;2024:Bronze;2025:Bronze,2023:201;2024:198.5;2025:257,2023:0.6747572816;2024:0.6740558292;2025:0.5920634921
2911,Asadbek Boboqulov,"Boboqulov, Asadbek",2,2024;2025,2024:None;2025:Silver,2024:541.5;2025:133,2024:0.1108374384;2025:0.7888888889
2913,Iskandar Buriev,"Buriev, Iskandar",2,2021;2022,2021:None;2022:Honourable Mention,2021:484;2022:320.5,2021:0.2180936995;2022:0.4558573854
2920,Jasurbek Imomov,"Imomov, Jasurbek",2,2018;2019,2018:Honourable Mention;2019:Bronze,2018:401.5;2019:190.5,2018:0.3240740741;2019:0.693236715
2921,Doniyor Ismoilov,"Ismoilov, Doniyor",1,2021,2021:Honourable Mention,2021:359.5,2021:0.4192245557
2923,Shakhboz Khasanov,"Khasanov, Shakhboz",1,2020,2020:Honourable Mention,2020:377,2020:0.387987013
2924,Jaloliddin Kholmatov,"Kholmatov, Jaloliddin",1,2022,2022:Honourable Mention,2022:385,2022:0.3463497453
2929,Mukhammadrizo Madjidov,"Madjidov, Mukhammadrizo",1,2020,2020:Honourable Mention,2020:469.5,2020:0.2378246753
2932,Behzod Maksudov,"Maksudov, Behzod",1,2023,2023:Honourable Mention,2023:331.5,2023:0.463592233
2933,Azizbek Mamajonov,"Mamajonov, Azizbek",1,2026,2026:Bronze,2026:298,2026:0.5525525526
2936,Eldor Neymatov,"Neymatov, Eldor",1,2020,2020:Honourable Mention,2020:351,2020:0.4301948052
2938,Jakhongir Norboev,"Norboev, Jakhongir",1,2020,2020:Honourable Mention,2020:377,2020:0.387987013
2939,Olimjon Olimov,"Olimov, Olimjon",1,2021,2021:Bronze,2021:278.5,2021:0.5500807754
2940,Davrbek Oltiboev,"Oltiboev, Davrbek",2,2017;2018,2017:Honourable Mention;2018:Honourable Mention,2017:402.5;2018:379,2017:0.3455284553;2018:0.361952862
2946,Lazizbek Rajabboev,"Rajabboev, Lazizbek",1,2022,2022:Bronze,2022:200,2022:0.6604414261
2948,Anvarbek Rakhmatov,"Rakhmatov, Anvarbek",2,2022;2023,2022:Honourable Mention;2023:Bronze,2022:294;2023:287.5,2022:0.5008488964;2023:0.534789644
2950,Anvarbek Sadulloyev,"Sadulloyev, Anvarbek",1,2023,2023:Bronze,2023:305.5,2023:0.5056634304
2952,Abbos Sayliev,"Sayliev, Abbos",1,2019,2019:Honourable Mention,2019:352.5,2019:0.4323671498
2954,Madina Suyunova,"Suyunova, Madina",1,2024,2024:Bronze,2024:267,2024:0.5615763547
2955,Jakhongir Turaev,"Turaev, Jakhongir",1,2019,2019:Honourable Mention,2019:352.5,2019:0.4323671498
2961,Elbek Zohidjonov,"Zohidjonov, Elbek",3,2024;2025;2026,2024:Silver;2025:Silver;2026:Bronze,2024:112;2025:76.5;2026:236.5,2024:0.816091954;2025:0.8785714286;2026:0.6448948949
